,class,anno_key,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
69,0,NAN,0.72484825,0.4231700134,2.870879974,9.438771973,9.874788152
70,0,NAN,0.73482025,0.4186793518,2.901715851,9.369017029,9.81701214
71,0,NAN,0.74479325,0.4393363953,2.885848846,9.321266327,9.767658162
72,0,NAN,0.75476525,0.4546046448,2.904410248,9.279802551,9.734320709
73,0,NAN,0.76473825,0.4749623108,2.929557953,9.218430176,9.684387121
74,0,NAN,0.77471025,0.5131329346,2.941083984,9.20974823,9.68156717
75,0,NAN,0.78468325,0.5019062805,2.921025696,9.29986084,9.760722958
76,0,NAN,0.79465525,0.4858895874,2.865191803,9.356592865,9.797512072
77,0,NAN,0.80462825,0.4959187317,2.78944931,9.288035431,9.710538863
78,0,NAN,0.81460025,0.5135820007,2.749332733,9.291927338,9.70373694
79,0,NAN,0.82457325,0.5150788879,2.761607208,9.303153992,9.718047892
80,0,NAN,0.83454525,0.5444178772,2.810854797,9.342372437,9.771244458
81,0,NAN,0.84451825,0.5442681885,2.834056549,9.289532318,9.727461903
82,0,NAN,0.85449025,0.5397775269,2.825224915,9.313482513,9.747523384
83,0,NAN,0.86446325,0.4906796265,2.844684448,9.346713409,9.782333447
84,0,NAN,0.87443525,0.4343966675,2.866239624,9.297016754,9.738508642
85,0,NAN,0.88440825,0.4177812195,2.890040131,9.297016754,9.744813679
86,0,NAN,0.89438025,0.4105961609,2.885699158,9.334588623,9.779079384
87,0,NAN,0.90435325,0.40251297,2.861150208,9.334438934,9.77138411
88,0,NAN,0.91432525,0.4400848389,2.846331024,9.267528076,9.704759225
89,0,NAN,0.92429825,0.4785548401,2.802771606,9.175918579,9.606353376
90,0,NAN,0.93427025,0.4929249573,2.755619659,9.228159943,9.6434097
91,0,NAN,0.94424325,0.4875361633,2.802023163,9.302555237,9.727618375
92,0,NAN,0.95421525,0.5132826233,2.862497406,9.327253876,9.770108255
93,0,NAN,0.96418825,0.5321434021,2.86549118,9.363628235,9.806719636
94,0,NAN,0.97416025,0.4742138672,2.850971375,9.324858856,9.762474546
95,0,NAN,0.98413325,0.4478686523,2.807262268,9.31737442,9.741394862
96,0,NAN,0.99410525,0.4237687683,2.803669739,9.311985626,9.73412658
97,0,NAN,1.00407825,0.4632865906,2.78944931,9.303603058,9.723820843
98,0,NAN,1.01405025,0.4948709106,2.749931488,9.317973175,9.727879753
99,0,NAN,1.02402325,0.5257067871,2.729424133,9.319320374,9.725011874
100,0,NAN,1.03399525,0.5358856201,2.743195496,9.308243408,9.718831734
101,0,NAN,1.04396825,0.5442681885,2.773881683,9.309440918,9.729148866
102,0,NAN,1.05394025,0.5510041809,2.785258026,9.318721619,9.741654915
103,0,NAN,1.06391325,0.5498066711,2.788700867,9.315877533,9.739851853
104,0,NAN,1.07388525,0.5279521179,2.778372345,9.275611267,9.697167148
105,0,NAN,1.08385825,0.5243595886,2.812651062,9.257199554,9.68925707
106,0,NAN,1.09383025,0.5090913391,2.826272736,9.280251617,9.714425441
107,0,NAN,1.10380325,0.4763095093,2.797532501,9.365125122,9.785633725
108,0,NAN,1.11377525,0.492026825,2.787653046,9.390721893,9.808096532
109,0,NAN,1.12374825,0.4864883423,2.80935791,9.389524384,9.812865582
110,0,NAN,1.13372025,0.4787045288,2.841091919,9.404044189,9.835497366
111,0,NAN,1.14369325,0.5020559692,2.820734253,9.319170685,9.749643284
112,0,NAN,1.15366525,0.5575904846,2.744692383,9.213640137,9.629922533
113,0,NAN,1.16363825,0.5566923523,2.687511292,9.169481964,9.57141697
114,0,NAN,1.17361025,0.5358856201,2.700085144,9.22142395,9.623528088
115,0,NAN,1.18358325,0.5499563599,2.768642578,9.23085434,9.65279781
116,0,NAN,1.19355525,0.5623805237,2.804268494,9.213041382,9.646777967
117,0,NAN,1.20352825,0.5533992004,2.805316315,9.226812744,9.659716544
118,0,NAN,1.21350025,0.5222639465,2.791544952,9.262887726,9.688476241
119,0,NAN,1.22347325,0.5189707947,2.751128998,9.275611267,9.688911488
120,0,NAN,1.23344525,0.5417234802,2.745590515,9.333840179,9.74434729
121,0,NAN,1.24341825,0.5074447632,2.790946198,9.449549561,9.866147564
122,0,NAN,1.25339025,0.5270539856,2.830014954,9.4543396,9.88287953
123,0,NAN,1.26336325,0.5522016907,2.832409973,9.362131348,9.796783979
124,0,NAN,1.27333525,0.5086422729,2.847678223,9.289831696,9.729797591
125,0,NAN,1.28330825,0.4950205994,2.868035889,9.270970917,9.717076566
126,0,NAN,1.29328025,0.4837939453,2.831062775,9.285341034,9.719389442
127,0,NAN,1.30325325,0.4695735168,2.77433075,9.305848389,9.721945517
128,0,NAN,1.31322525,0.4441264343,2.853516083,9.407786407,9.841049101
129,0,NAN,1.32319825,0.3974235535,2.935395813,9.570947113,10.01885835
130,0,NAN,1.33317025,0.3679348755,2.806813202,9.700427856,10.10504216
131,0,NAN,1.34314325,0.3288661194,2.662513275,9.682614899,10.04739574
132,0,NAN,1.35311525,0.2883004761,2.571951599,9.608069916,9.950530624
133,0,NAN,1.36308825,0.433049469,2.500250702,9.409133606,9.745285046
134,0,NAN,1.373059875,0.6360273743,2.45489502,8.954229584,9.306410039
135,0,NAN,1.383032875,0.7198530579,2.398013306,8.723858643,9.076032495
136,0,NAN,1.393004875,0.8102650452,2.493065643,8.931925964,9.308663018
137,0,NAN,1.402976875,0.7249424744,2.626737671,9.215137024,9.609580779
138,0,NAN,1.412949875,0.6707551575,2.670895844,9.426048431,9.820080759
139,0,NAN,1.422921875,0.7041357422,2.70292923,9.541009369,9.941453281
140,0,NAN,1.432894875,0.7400610352,2.711012421,9.539961548,9.945257413
141,0,NAN,1.442866875,0.7018904114,2.676284637,9.519603882,9.913526501
142,0,NAN,1.452839875,0.6918612671,2.631228333,9.305249634,9.694828792
143,0,NAN,1.462811875,0.6771917725,2.446811829,9.265282745,9.606817432
144,0,NAN,1.472784875,0.5674699402,2.16704361,9.42500061,9.687555762
145,0,NAN,1.482756875,0.6316864014,1.953288116,9.436227264,9.656953306
146,0,NAN,1.492729875,0.6812333679,1.712588654,9.386231232,9.565478322
147,0,NAN,1.502701875,0.5405259705,1.668879547,9.325008545,9.488577956
148,0,NAN,1.512674875,0.4349954224,1.967807922,9.383536835,9.597512832
149,0,NAN,1.522646875,0.2189945984,2.75442215,9.408983917,9.806313189
150,0,NAN,1.532619875,0.1878593445,2.949915619,9.454788666,9.906075005
151,0,NAN,1.542591875,0.2249821472,2.855611725,9.211394806,9.646498306
152,0,NAN,1.552564875,0.343535614,2.830314331,8.964558105,9.407018548
153,0,NAN,1.562536875,0.4953199768,2.747237091,8.955427094,9.380422589
154,0,NAN,1.572509875,0.5620811462,2.664159851,9.087751923,9.48688136
155,0,NAN,1.582481875,0.5773493958,2.480940857,9.263336792,9.607174839
156,0,NAN,1.592454875,0.5881269836,2.222129059,9.540111237,9.813127601
157,0,NAN,1.602426875,0.6671626282,1.985770569,9.650581512,9.875328564
158,0,NAN,1.612399875,0.5532495117,1.807341614,9.919422455,10.09789634
159,0,NAN,1.622371875,0.8126600647,1.73878418,10.44737457,10.62221362
160,0,NAN,1.632344875,0.953966217,2.062261505,10.41878403,10.66367829
161,0,NAN,1.642316875,0.9574090576,2.417023773,10.07210495,10.40220814
162,0,NAN,1.652289875,0.983454895,2.567460938,9.535171509,9.923635166
163,0,NAN,1.662261875,0.8544232178,2.794838104,9.317524109,9.765112113
164,0,NAN,1.672234875,0.7268884277,2.908451843,9.363927612,9.832120791
165,0,NAN,1.682206875,0.5948629761,2.915337524,9.329948273,9.792905065
166,0,NAN,1.692179875,0.5084925842,2.881657562,9.175319824,9.630628686
167,0,NAN,1.702151875,0.5191204834,2.861599274,8.995992737,9.454423399
168,0,NAN,1.712124875,0.5587879944,2.82687149,8.798703003,9.258543135
169,0,NAN,1.722096875,0.5986051941,2.669398956,8.687783661,9.108326076
170,0,NAN,1.732069875,0.7542814636,2.468067627,8.509953461,8.892671491
171,0,NAN,1.742041875,0.9599537659,2.251168671,8.319250031,8.671746807
172,0,NAN,1.752014875,1.0577005,1.94236084,8.536298676,8.818156897
173,0,NAN,1.761986875,1.053509216,1.575174408,9.031169586,9.227842661
174,0,NAN,1.771959875,0.9776170349,1.385518799,9.312135315,9.465266057
175,0,NAN,1.781931875,0.8214916992,1.372795258,9.408385162,9.5434337
176,0,NAN,1.791904875,0.7080276489,1.561103668,9.481732635,9.635434686
177,0,NAN,1.801876875,0.6092330933,1.88503006,9.480984192,9.685740268
178,0,NAN,1.811849875,0.6087840271,2.175725555,9.333091736,9.602655936
179,0,NAN,1.821821875,0.6888674927,2.336341553,9.073381805,9.394641433
180,0,NAN,1.831794875,0.7869136047,2.372416534,8.852141876,9.198261196
181,0,NAN,1.841766875,0.8816665649,2.314636688,8.703201599,9.048789809
182,0,NAN,1.851739875,0.9485774231,2.195634155,8.894054718,9.210038968
183,0,NAN,1.861711875,0.9563612366,1.990111542,9.36422699,9.621014389
184,0,NAN,1.871684875,0.8080197144,1.699266357,9.922865295,10.09968602
185,0,NAN,1.881656875,0.5619314575,1.421294403,10.24454636,10.35792329
186,0,NAN,1.891629875,0.3815565491,1.245559845,10.33271301,10.41450733
187,0,NAN,1.901601875,0.2323168945,0.9677375793,10.65349594,10.69988144
188,0,NAN,1.911574875,0.2267784119,0.7441026306,10.77788727,10.80592297
189,0,NAN,1.921546875,0.4858895874,1.097368011,10.16670822,10.23729756
190,0,NAN,1.931519875,0.5489085388,1.472487946,9.668544159,9.795420741
191,0,NAN,1.941491875,0.5029541016,1.789229279,9.472901001,9.653504939
192,0,NAN,1.951464875,0.4242178345,2.104623413,9.618847504,9.855537924
193,0,NAN,1.961436875,0.3384461975,2.31209198,9.800120544,10.07485374
194,0,NAN,1.971409875,0.3532653809,2.535427551,9.58771225,9.923578764
195,0,NAN,1.981381875,0.400866394,2.650687866,9.320517883,9.698396447
