"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.101087083E-1,-9.198371887E-1,4.769382019E0,8.221353607E0,9.549018820E0
9.200817083E-1,-9.243278503E-1,4.724325714E0,8.268355865E0,9.567619565E0
9.300547083E-1,-9.343569946E-1,4.769382019E0,8.322842560E0,9.637932149E0
9.400277083E-1,-9.195378113E-1,4.837041321E0,8.412506104E0,9.747449793E0
9.500007083E-1,-9.252259827E-1,4.872367859E0,8.340356140E0,9.703481448E0
9.599737083E-1,-9.497749329E-1,4.868475952E0,8.316256256E0,9.683194134E0
9.699467083E-1,-9.988728333E-1,4.868475952E0,8.402327271E0,9.762115990E0
9.799197083E-1,-1.027014313E0,4.889132996E0,8.433013458E0,9.801739429E0
9.898927083E-1,-1.004561005E0,4.900958405E0,8.323291626E0,9.711113200E0
9.998657083E-1,-9.824070740E-1,4.918172607E0,8.276888123E0,9.677831495E0
1.009838708E0,-9.873468018E-1,4.896318054E0,8.329877930E0,9.712654144E0
1.019811708E0,-9.539662170E-1,4.850513306E0,8.310418396E0,9.669570042E0
1.029784708E0,-9.117539978E-1,4.791985016E0,8.251740417E0,9.585699540E0
1.039757708E0,-9.120533752E-1,4.787045288E0,8.206085358E0,9.543976155E0
1.049730708E0,-9.190887451E-1,4.820575562E0,8.279283142E0,9.624406590E0
1.059703708E0,-9.264234924E-1,4.870122528E0,8.380622406E0,9.737103565E0
1.069676708E0,-9.499246216E-1,4.893324280E0,8.410410461E0,9.776603880E0
1.079649708E0,-9.915380859E-1,4.915478210E0,8.495134277E0,9.864703756E0
1.089622708E0,-1.030307465E0,4.908742218E0,8.478818207E0,9.851276152E0
1.099595708E0,-1.041085052E0,4.902604980E0,8.353528748E0,9.741706022E0
1.109568708E0,-1.024918671E0,4.880001984E0,8.296946411E0,9.680092840E0
1.119541708E0,-1.025068359E0,4.853656769E0,8.284073181E0,9.655807457E0
1.129514708E0,-1.012943573E0,4.821773071E0,8.298742676E0,9.651149166E0
1.139487708E0,-9.960287476E-1,4.788841553E0,8.277187500E0,9.614411557E0
1.149460708E0,-9.714797974E-1,4.800517273E0,8.292904816E0,9.631251703E0
1.159433708E0,-9.551637268E-1,4.868176575E0,8.346643066E0,9.709682352E0
1.169406708E0,-9.376501465E-1,4.918322296E0,8.368048553E0,9.751580313E0
1.179379708E0,-9.339079285E-1,4.916376343E0,8.326884155E0,9.714933870E0
1.189352708E0,-9.668394470E-1,4.896318054E0,8.364605713E0,9.740397206E0
1.199325708E0,-1.015787659E0,4.897216187E0,8.451125793E0,9.820187275E0
1.209298792E0,-1.026714935E0,4.882995758E0,8.469836884E0,9.830357469E0
1.219271792E0,-1.002615051E0,4.853357391E0,8.417146454E0,9.767736142E0
1.229244792E0,-9.801617432E-1,4.834496613E0,8.381819916E0,9.725635179E0
1.239217792E0,-9.851014709E-1,4.799619141E0,8.320297852E0,9.655781954E0
1.249190792E0,-9.681866455E-1,4.797373810E0,8.318052521E0,9.651019562E0
1.259163792E0,-9.687854004E-1,4.808001709E0,8.330476685E0,9.667071293E0
1.269136792E0,-9.366023254E-1,4.820425873E0,8.332272949E0,9.671633885E0
1.279109792E0,-9.202862549E-1,4.818479919E0,8.319250031E0,9.657877437E0
1.289082792E0,-9.243278503E-1,4.817881165E0,8.383466492E0,9.713334716E0
1.299055792E0,-9.366023254E-1,4.832251282E0,8.392447815E0,9.729391383E0
1.309028792E0,-9.520202637E-1,4.834795990E0,8.331524506E0,9.679664015E0
1.319001792E0,-9.948312378E-1,4.845723267E0,8.255482635E0,9.624121607E0
1.328974792E0,-1.006357269E0,4.868176575E0,8.275391235E0,9.653703860E0
1.338947792E0,-9.756710815E-1,4.853357391E0,8.336015167E0,9.695161726E0
1.348920792E0,-9.901908875E-1,4.837340698E0,8.341254272E0,9.693134986E0
1.358893792E0,-1.013692017E0,4.863685913E0,8.332572327E0,9.701276913E0
1.368866792E0,-1.010548553E0,4.878804474E0,8.390651550E0,9.758430966E0
1.378839792E0,-1.001267853E0,4.893623657E0,8.497080231E0,9.856493406E0
1.388812792E0,-1.004111938E0,4.905449066E0,8.532406769E0,9.893110562E0
1.398785792E0,-9.891430664E-1,4.884642334E0,8.441695404E0,9.803078906E0
1.408758792E0,-9.653425598E-1,4.830604706E0,8.310867462E0,9.661115156E0
1.418731792E0,-9.674382019E-1,4.798571320E0,8.321495361E0,9.654507156E0
1.428704792E0,-9.717791748E-1,4.784201202E0,8.308921509E0,9.636965941E0
1.438677792E0,-9.358538818E-1,4.777016144E0,8.247848511E0,9.577197439E0
1.448650792E0,-8.951385498E-1,4.778363342E0,8.173004150E0,9.509575495E0
1.458623792E0,-9.195378113E-1,4.778662720E0,8.169411621E0,9.508967000E0
1.468596792E0,-9.644444275E-1,4.788392487E0,8.225694580E0,9.566655998E0
1.478569792E0,-9.771679688E-1,4.842130737E0,8.311166840E0,9.668328788E0
1.488542792E0,-9.942324829E-1,4.900359650E0,8.399782562E0,9.775396157E0
1.498515792E0,-1.016386414E0,4.927004242E0,8.499026184E0,9.876328175E0
1.508488792E0,-1.014889526E0,4.955445099E0,8.583899689E0,9.963421638E0
1.518461792E0,-1.009500732E0,4.948559418E0,8.499774628E0,9.887037006E0
1.528434792E0,-9.807604980E-1,4.905299377E0,8.416398010E0,9.790792031E0
1.538407792E0,-1.010847931E0,4.881349182E0,8.421637115E0,9.786386212E0
1.548380792E0,-1.043929138E0,4.849166107E0,8.449628906E0,9.797980845E0
1.558353792E0,-1.017733612E0,4.826413422E0,8.391100616E0,9.733479223E0
1.568326792E0,-9.789642334E-1,4.769831085E0,8.310568085E0,9.631988447E0
1.578299792E0,-9.636959839E-1,4.743934937E0,8.252039795E0,9.567120225E0
1.588273792E0,-9.801617432E-1,4.744982758E0,8.301886139E0,9.612330200E0
1.598246792E0,-9.607022095E-1,4.773722992E0,8.321645050E0,9.641636597E0
1.608219792E0,-9.210346985E-1,4.777614899E0,8.279881897E0,9.603663533E0
1.618192792E0,-9.020242310E-1,4.788242798E0,8.300688629E0,9.625089533E0
1.628165792E0,-9.277706909E-1,4.799619141E0,8.349936218E0,9.675667274E0
1.638138792E0,-9.554631042E-1,4.797224121E0,8.332722015E0,9.662325041E0
1.648111792E0,-9.542655945E-1,4.809049530E0,8.346643066E0,9.680084229E0
1.658084792E0,-9.584568787E-1,4.832850037E0,8.420888672E0,9.756354088E0
1.668057792E0,-1.008452911E0,4.870571594E0,8.459508362E0,9.813395266E0
1.678030792E0,-1.019978943E0,4.909041595E0,8.470585327E0,9.843264815E0
1.688003792E0,-9.918374634E-1,4.900209961E0,8.423583069E0,9.795537297E0
1.697976792E0,-9.668394470E-1,4.872367859E0,8.429121552E0,9.783907052E0
1.707949792E0,-9.404942322E-1,4.860243073E0,8.447383575E0,9.791056194E0
1.717922792E0,-9.318122864E-1,4.827910309E0,8.304580536E0,9.651064706E0
1.727895792E0,-9.165440369E-1,4.774621124E0,8.218060455E0,9.548485613E0
1.737868792E0,-9.653425598E-1,4.735702057E0,8.265362091E0,9.574704733E0
1.747841792E0,-9.801617432E-1,4.770130463E0,8.325836334E0,9.645434793E0
1.757814792E0,-9.565109253E-1,4.816983032E0,8.291707306E0,9.636941876E0
1.767787792E0,-9.666897583E-1,4.831353149E0,8.269852753E0,9.626366235E0
1.777760792E0,-9.864486694E-1,4.840184784E0,8.348139954E0,9.700098474E0
1.787733792E0,-1.040635986E0,4.846920776E0,8.379724274E0,9.736290011E0
1.797706792E0,-1.040037231E0,4.881199493E0,8.482111359E0,9.841442935E0
1.807679792E0,-1.057999878E0,4.909939728E0,8.499325562E0,9.872456983E0
1.817652792E0,-1.071920929E0,4.925357666E0,8.448431396E0,9.837893864E0
1.827625792E0,-1.025816803E0,4.923112335E0,8.450077972E0,9.833267662E0
1.837598792E0,-9.797126770E-1,4.886288910E0,8.384963379E0,9.754141023E0
1.847571792E0,-9.630972290E-1,4.813989258E0,8.254883881E0,9.604434222E0
1.857544792E0,-9.752220154E-1,4.768334198E0,8.236621857E0,9.567131682E0
1.867517792E0,-9.601034546E-1,4.745880890E0,8.277935944E0,9.590068172E0
1.877490792E0,-9.589059448E-1,4.739893341E0,8.243507538E0,9.557275031E0
1.887464792E0,-9.544152832E-1,4.723726959E0,8.216264191E0,9.525308508E0
1.897437792E0,-9.786648560E-1,4.736899567E0,8.280181274E0,9.589442337E0
1.907410792E0,-9.812095642E-1,4.779710541E0,8.387657776E0,9.703669823E0
1.917383792E0,-9.529183960E-1,4.843028870E0,8.482111359E0,9.813724838E0
1.927356792E0,-9.663903809E-1,4.886288910E0,8.495733032E0,9.848208438E0
1.937329792E0,-9.569599915E-1,4.892126770E0,8.496032410E0,9.850443821E0
1.947302792E0,-9.928852844E-1,4.865182800E0,8.502019958E0,9.845819836E0
1.957275792E0,-1.021625519E0,4.864434357E0,8.461304626E0,9.813262266E0
1.967248792E0,-9.839039612E-1,4.900509338E0,8.370892639E0,9.749610369E0
1.977221792E0,-9.913883972E-1,4.821922760E0,8.298293610E0,9.648599219E0
